AMEX.	Американская фондовая биржа
ASCII.	ASCII
aрхив.	Архивное дело
Ebay.	Ebay
F1.	Формула 1
Hi-Fi.	Hi-Fi
NYSE.	Нью-Йоркская фондовая биржа
SAP.	SAP
SAP.тех.	SAP технические термины
SAP.фин.	SAP финансы
WWII.	Вторая мировая война
аббр.	аббревиатура/акроним
абориг.	Туземный
ав.	Авиация
авар.	Аварийное восстановление
авиа.	Авиация
авиа.мед.	Авиационная медицина
австр.	Австрийское выражение
австрал.	Австралийский сленг
австрал.анг.	австралийское выражение
Австрия.	Австрия
авт.	Автомобильный термин
автодор.	Автодорожное право
автом.	Автоматика
автор.	Авторское право
агрохим.	Агрохимия
админ.прав.	Административное право
акк.	Аккумуляторы
акр.	Акробатика
акуп.	Акупунктура
акуст.	Акустика
акуш.	Акушерство
алг.	Алгебра
Алж	Алжир
алк.	Алкалоиды
аллерг.	Аллергология
альп.	Альпинизм
алюм.	Алюминиевая промышленность
амер.	Американизм
амер.англ.	Американский английский
амер.мультф.	Американские мультфильмы
амер.футб.	Американский футбол
амт.	Астрометрия
аналит.хим.	Аналитическая химия
анат.	Анатомия
англ.	Английский язык
анест.	Анестезиология
Ант	Антильские острова
антаркт.	Антарктика
антенн.	Антенны и волноводы
антр.	Антропология
араб.	Арабский язык
Араг.	Арагон
Арг	Аргентина
арго.	Арго
армат.	Арматура
арт.	Артиллерия
артил.	Артиллерия
арх.	Архаизм
археол.	Археология
архит.	Архитектура
асп.	Астроспектроскопия
астр.	Астрономия
астрол.	Астрология
астрон.	Астрономия
астрофиз.	Астрофизика
ауд.	Аудит
афор.	Афоризм
афр.	Африка
африк.	Африканизм
афт.	Аэрофототопография
аэрогидр.	Аэрогидродинамика
аэродин.	Аэродинамика
аэропорт.	Аэропорты
АЭС	Атомная энергия
б.д.	Базы данных
бакт.	Бактериология
бал.	Баллистика
банк.	Банковское дело
баскет.	Баскетбол
батут.	Прыжки на батуте
безоп.	Безопасность
бейсб.	Бейсбол
бельг.	Бельгийское выражение
береж.произв.	Бережливое производство
берл.	Берлинское выражение
бет.	Бетонное производство
библ.	Библия
библиогр.	Библиография
библиот.	Библиотечное дело
бизн.	Деловая лексика
билл.	Биллиард
биоакуст.	Биоакустика
биогеогр.	Биогеография
биол.	Биология
биол.оруж.	Биологическое оружие
биом.	Биометрия
бион.	Бионика
биотех.	Биотехнология
биофиз.	Биофизика
биохим.	Биохимия
биоэнерг.	Биоэнергетика
бирж.	Биржевой термин
бокс.	Бокс
болг.	Болгарский язык
бонд.	Бондарное производство
бор.	Борьба
бот.	Ботаника
Браз	Бразилия
бран.	Бранное выражение
брит.	Британский английский
бронетанк.	Бронетанковая техника
букв.	Буквальное выражение
бум.	Бумажная промышленность
бур.	Бурение
бухг.	Бухгалтерия
быт.тех.	Бытовая техника
в.лыж.	Водные лыжи
в.ф.	Вакуумное формование
вак.	Вакуумная техника
валют.	Валютные операции
ВВ	Взрывчатые вещества
ВВС	Военно-воздушные силы
вга.	Внегалактическая астрономия
ВДВ	Воздушно-десантные войска
вежл.	Вежливое выражение
вексел.	Вексельное право
вело.	Велогонки
велосип.	Велосипеды
венг.	Венгерский язык
венерол.	Венерология
Венесуэл.	Венесуэла
венск.	Венский диалект
вент.	Вентиляция
верл.	Верлан
верт.	Вертолёты
вет.	Ветеринария
вибр.монит.	Вибромониторинг
видео.	Видеозапись
вин.	Виноградарство
винил.проигр.	Проигрыватели виниловых дисков
винодел.	Виноделие
вирусол.	Вирусология
влч.	Волочение
ВМФ	Военно-морской флот
внеш.полит.	Внешняя политика
внеш.торг.	Внешняя торговля
вод.рес.	Водные ресурсы
воен.	Военный термин
воен.жарг.	Военный жаргон
воен.-полит.	Военно-политический термин
возвыш.	Возвышенное выражение
возд.	Воздухоплавание
вол.	Волоконная техника
волейб.	Волейбол
вор.	Воровское выражение
воскл.	Восклицание
вост.-ср.-нем.	Восточно-средне-немецкое выраж.
вред.	Борьба с вредителями
всн.	Водоснабжение
ВТО	Всемирная торговая организация
вулк.	Вулканология
ВЧ.эл	Высокочастотная электроника
