AMEX.	Американская фондовая биржа
aрхив.	Архивное дело
Ebay.	Ebay
Hi-Fi.	Hi-Fi
NYSE.	Нью-Йоркская фондовая биржа
SAP.	SAP
SAP.тех.	SAP технические термины
SAP.фин.	SAP финансы
WWII.	Вторая мировая война
аббр.	аббревиатура/акроним
авар.	Аварийное восстановление
авиа.	Авиация
авиа.мед.	Авиационная медицина
австр.	Австрийское выражение
австрал.	Австралийский сленг
австрал.анг.	австралийское выражение
авт.	Автомобильный термин
автодор.	Автодорожное право
автом.	Автоматика
автор.	Авторское право
агрохим.	Агрохимия
админ.прав.	Административное право
акк.	Аккумуляторы
акуп.	Акупунктура
акуст.	Акустика
акуш.	Акушерство
алг.	Алгебра
Алж	Алжир
алк.	Алкалоиды
аллерг.	Аллергология
альп.	Альпинизм
алюм.	Алюминиевая промышленность
амер.	Американизм
амер.англ.	Американский английский
амер.мультф.	Американские мультфильмы
амер.футб.	Американский футбол
амт.	Астрометрия
аналит.хим.	Аналитическая химия
анат.	Анатомия
анест.	Анестезиология
Ант	Антильские острова
антаркт.	Антарктика
антенн.	Антенны и волноводы
антр.	Антропология
араб.	Арабский язык
Арг	Аргентина
арго.	Арго
армат.	Арматура
артил.	Артиллерия
арх.	Архаизм
археол.	Археология
архит.	Архитектура
асп.	Астроспектроскопия
астрол.	Астрология
астрон.	Астрономия
астрофиз.	Астрофизика
ауд.	Аудит
афор.	Афоризм
афр.	Африка
африк.	Африканизм
афт.	Аэрофототопография
аэрогидр.	Аэрогидродинамика
аэродин.	Аэродинамика
аэропорт.	Аэропорты
АЭС	Атомная энергия
бакт.	Бактериология
бал.	Баллистика
банк.	Банковское дело
баскет.	Баскетбол
б.д.	Базы данных
безоп.	Безопасность
бейсб.	Бейсбол
бельг.	Бельгийское выражение
береж.произв.	Бережливое производство
берл.	Берлинское выражение
бет.	Бетонное производство
библ.	Библия
библиогр.	Библиография
библиот.	Библиотечное дело
бизн.	Деловая лексика
билл.	Биллиард
биоакуст.	Биоакустика
биогеогр.	Биогеография
биол.	Биология
биол.оруж.	Биологическое оружие
биом.	Биометрия
бион.	Бионика
биотех.	Биотехнология
биофиз.	Биофизика
биохим.	Биохимия
бирж.	Биржевой термин
бокс.	Бокс
болг.	Болгарский язык
бонд.	Бондарное производство
бор.	Борьба
бот.	Ботаника
Браз	Бразилия
бран.	Бранное выражение
брит.	Британский английский
бронетанк.	Бронетанковая техника
букв.	Буквальное выражение
бум.	Бумажная промышленность
бур.	Бурение
бухг.	Бухгалтерия
быт.тех.	Бытовая техника
вак.	Вакуумная техника
валют.	Валютные операции
ВВ	Взрывчатые вещества
ВВС	Военно-воздушные силы
вга.	Внегалактическая астрономия
ВДВ	Воздушно-десантные войска
вексел.	Вексельное право
вело.	Велогонки
велосип.	Велосипеды
венг.	Венгерский язык
венерол.	Венерология
венск.	Венский диалект
